[0.000000] (-) TimerEvent: {}
[0.000302] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000327] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000343] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000358] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000372] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000385] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000398] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000411] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000424] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000437] (-) JobUnselected: {'identifier': 'moveit'}
[0.000449] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000462] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000475] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000487] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000500] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000512] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000525] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000537] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000550] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000563] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000575] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000587] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000600] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000612] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000624] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000637] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000649] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000661] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000674] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000686] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000698] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000711] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000723] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000736] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000748] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000761] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000773] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000785] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000797] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000810] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000822] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000834] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000846] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000859] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000871] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000883] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000895] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000908] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000920] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000932] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000944] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000957] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000969] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000981] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000994] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001006] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001019] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001058] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001069] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001076] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001081] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001087] (-) JobUnselected: {'identifier': 'object_creation'}
[0.001092] (-) JobUnselected: {'identifier': 'object_detection'}
[0.001098] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.001103] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001108] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.001113] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001119] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001124] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.001129] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.001134] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001139] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001144] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001150] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001155] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001160] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001165] (-) JobUnselected: {'identifier': 'serial'}
[0.001173] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.001178] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.001184] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.001189] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.001194] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.001199] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.001205] (-) EventReactorShutdown: {}
